test_start,horizon,train_pool_rows,eligible_rows,purged_rows,frac_pool_purged,test_rows_1y_window
2024-01-01,2y,1420545,1309938,110607,0.0779,15729
2024-01-01,3y,1420545,1257437,163108,0.1148,15729
2024-01-01,5y,1420545,1166848,253697,0.1786,15729
2025-01-01,1y,1467732,1416709,51023,0.0348,15093
2025-01-01,2y,1467732,1365225,102507,0.0698,15093
2025-01-01,3y,1467732,1309938,157794,0.1075,15093
2025-01-01,5y,1467732,1212247,255485,0.1741,15093
2026-01-01,1y,1513011,1464037,48974,0.0324,11394
2026-01-01,2y,1513011,1416709,96302,0.0636,11394
2026-01-01,3y,1513011,1365225,147786,0.0977,11394
2026-01-01,5y,1513011,1257437,255574,0.1689,11394
